training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.41671333,0.7922344,0.0,-79.81607,-95.747375,4.9809175,-4.2082815,58.659138,0.5868479,-79.64995,-95.70145,0.06375711,0.001658122730255127,1038.4176528453827,435000
0.4755213,0.9341135,-11.083887,-79.780525,-96.08026,9.707589,-10.389623,81.095,-9.484142,-79.54702,-96.04185,0.06810447,0.0016745546817779542,1046.7904295921326,440000
0.45779812,0.8129231,0.0,-78.775345,-95.958305,12.463023,-9.090139,89.7048,-2.9404283,-78.62002,-95.918045,0.07970299,0.001674990463256836,1055.1653854846954,445000
0.48859614,1.1716655,0.0,-77.468796,-96.10786,6.2502317,-7.792661,86.78743,0.08994965,-77.205536,-96.06796,0.09939778,0.0016866175174713135,1063.5984761714935,450000
0.42394805,1.9765373,0.0,-77.68928,-95.90366,26.036253,-15.738948,180.78342,0.6871517,-77.31972,-95.85867,0.17026536,0.0016940840244293212,1072.0689001083374,455000
0.4289521,1.1186286,-8.30772,-78.72225,-95.76757,7.810091,-6.265715,103.01464,-8.239839,-78.53923,-95.72699,0.119477846,0.0016571343421936035,1080.3545756340027,460000
0.41061127,0.9902668,-20.639631,-82.329605,-95.69476,4.14365,-2.398072,55.504402,-18.987883,-82.15347,-95.67273,0.09055695,0.001676015043258667,1088.7346539497375,465000
0.43542865,0.6582712,0.0,-77.63933,-95.85612,2.6632345,-3.749158,46.644596,1.5958567,-77.38269,-95.78951,0.12794101,0.0017617818355560302,1097.5435667037964,470000
0.43862283,1.3400657,-9.08944,-80.28847,-95.89532,5.491957,-6.8010798,83.96882,-6.3679943,-80.06137,-95.86695,0.13430108,0.0017436745643615722,1106.2619426250458,475000
0.42646086,0.8614757,0.0,-80.27132,-95.85515,8.927814,-9.31282,80.96337,0.83701503,-80.13649,-95.81532,0.050464522,0.0017260833263397217,1114.892362833023,480000
